,silhouette,silhouette,silhouette,davies_bouldin,davies_bouldin,davies_bouldin,calinski_harabasz,calinski_harabasz,calinski_harabasz
,mean,std,max,mean,std,min,mean,std,max
k,,,,,,,,,
3,0.1525,0.0179,0.1779,2.0199,0.1596,1.8321,17214.1991,1574.4289,18949.8173
4,0.1434,0.0126,0.1657,1.8919,0.2087,1.5645,16748.7175,1042.3271,17926.8855
5,0.1501,0.0087,0.1589,1.8233,0.1122,1.6753,15982.2741,418.3852,16451.5085
6,0.1472,0.0075,0.1605,1.8041,0.0863,1.7193,15261.458,639.8933,16131.3942
7,0.1421,0.0081,0.1597,1.842,0.1184,1.6904,14395.3396,856.92,15557.9316
8,0.1475,0.0107,0.1615,1.8314,0.1534,1.6451,13558.7456,1008.666,14923.068
11,0.141,0.0118,0.1591,1.8311,0.1992,1.5616,11484.3219,1068.779,13006.7874
14,0.1342,0.0142,0.1595,1.8389,0.2059,1.5532,10167.0196,1021.8732,11652.0799
