is_canceled,reservation_status,adr
0,Check-Out,0.0
0,Check-Out,0.0
0,Check-Out,75.0
0,Check-Out,75.0
0,Check-Out,98.0
0,Check-Out,98.0
0,Check-Out,107.0
0,Check-Out,103.0
1,Canceled,82.0
1,Canceled,105.5
1,Canceled,123.0
0,Check-Out,145.0
0,Check-Out,97.0
0,Check-Out,154.77
0,Check-Out,94.71
0,Check-Out,97.0
0,Check-Out,97.5
0,Check-Out,88.2
0,Check-Out,107.42
0,Check-Out,153.0
0,Check-Out,97.29
0,Check-Out,84.67
0,Check-Out,84.67
0,Check-Out,99.67
0,Check-Out,94.95
0,Check-Out,63.6
0,Check-Out,79.5
1,Canceled,107.0
0,Check-Out,94.0
0,Check-Out,87.3
0,Check-Out,62.0
0,Check-Out,63.86
1,Canceled,108.3
0,Check-Out,65.5
1,Canceled,108.8
1,Canceled,108.8
0,Check-Out,98.0
0,Check-Out,108.8
1,Canceled,108.8
0,Check-Out,137.0
1,Canceled,117.81
0,Check-Out,79.5
0,Check-Out,123.0
0,Check-Out,137.0
0,Check-Out,110.7
1,Canceled,153.0
0,Check-Out,58.95
0,Check-Out,82.88
0,Check-Out,82.35
0,Check-Out,119.35
0,Check-Out,67.58
0,Check-Out,56.01
0,Check-Out,110.7
0,Check-Out,88.2
0,Check-Out,147.0
0,Check-Out,107.0
0,Check-Out,147.0
0,Check-Out,117.9
0,Check-Out,123.0
0,Check-Out,98.0
0,Check-Out,117.81
0,Check-Out,135.0
0,Check-Out,133.0
0,Check-Out,58.95
1,Canceled,136.33
0,Check-Out,153.0
0,Check-Out,110.5
0,Check-Out,97.0
1,Canceled,110.3
1,Canceled,82.0
1,Canceled,97.0
1,Canceled,73.8
0,Check-Out,91.5
0,Check-Out,114.5
1,Canceled,110.3
0,Check-Out,90.9
1,Canceled,123.0
0,Check-Out,122.0
0,Check-Out,110.7
0,Check-Out,85.86
0,Check-Out,58.95
1,Canceled,55.68
0,Check-Out,55.68
1,Canceled,124.0
0,Check-Out,111.15
0,Check-Out,134.73
0,Check-Out,92.45
1,Canceled,108.73
0,Check-Out,73.8
0,Check-Out,98.0
0,Check-Out,131.0
0,Check-Out,123.0
0,Check-Out,94.71
0,Check-Out,123.0
1,Canceled,123.0
1,Canceled,73.8
1,Canceled,117.0
0,Check-Out,196.54
0,Check-Out,99.3
0,Check-Out,90.95
0,Check-Out,92.67
0,Check-Out,71.55
0,Check-Out,96.49
0,Check-Out,85.8
0,Check-Out,96.3
1,Canceled,163.0
1,Canceled,172.0
1,Canceled,110.7
0,Check-Out,58.95
0,Check-Out,73.8
0,Check-Out,97.0
0,Check-Out,139.0
0,Check-Out,67.24
0,Check-Out,116.5
1,Canceled,96.3
0,Check-Out,123.0
0,Check-Out,71.55
0,Check-Out,71.55
0,Check-Out,149.0
0,Check-Out,163.0
0,Check-Out,79.5
1,Canceled,105.0
1,No-Show,123.0
1,Canceled,73.8
1,Canceled,113.0
0,Check-Out,0.0
0,Check-Out,123.0
0,Check-Out,73.8
0,Check-Out,114.5
0,Check-Out,73.8
0,Check-Out,73.8
0,Check-Out,88.2
1,Canceled,97.0
0,Check-Out,85.1
0,Check-Out,89.0
0,Check-Out,80.1
0,Check-Out,98.0
0,Check-Out,101.0
1,Canceled,97.0
0,Check-Out,167.0
0,Check-Out,225.0
0,Check-Out,97.0
0,Check-Out,87.3
0,Check-Out,85.59
0,Check-Out,123.0
0,Check-Out,107.0
0,Check-Out,163.0
0,Check-Out,82.0
1,Canceled,163.0
1,Canceled,105.5
0,Check-Out,164.2
0,Check-Out,97.29
1,Canceled,114.0
0,Check-Out,98.4
0,Check-Out,175.0
0,Check-Out,63.6
0,Check-Out,124.45
0,Check-Out,110.7
0,Check-Out,74.07
0,Check-Out,134.1
0,Check-Out,167.0
0,Check-Out,123.0
0,Check-Out,117.81
0,Check-Out,171.32
0,Check-Out,210.0
0,Check-Out,97.0
0,Check-Out,117.81
0,Check-Out,0.0
0,Check-Out,0.0
0,Check-Out,131.0
0,Check-Out,98.0
0,Check-Out,87.3
0,Check-Out,97.0
1,Canceled,167.0
0,Check-Out,91.5
0,Check-Out,73.8
0,Check-Out,123.0
0,Check-Out,175.0
0,Check-Out,117.8
0,Check-Out,117.63
0,Check-Out,185.0
1,Canceled,71.0
0,Check-Out,47.25
0,Check-Out,151.0
1,Canceled,87.3
0,Check-Out,120.6
0,Check-Out,63.86
0,Check-Out,157.1
0,Check-Out,91.37
0,Check-Out,73.0
0,Check-Out,110.7
0,Check-Out,93.6
0,Check-Out,83.5
1,Canceled,73.8
0,Check-Out,82.0
0,Check-Out,185.5
0,Check-Out,0.0
0,Check-Out,0.0
0,Check-Out,109.8
0,Check-Out,195.0
0,Check-Out,109.8
0,Check-Out,193.0
0,Check-Out,97.0
0,Check-Out,150.0
0,Check-Out,98.0
1,Canceled,91.5
1,Canceled,139.0
0,Check-Out,79.5
1,Canceled,47.25
0,Check-Out,126.65
0,Check-Out,107.0
0,Check-Out,131.0
0,Check-Out,131.0
1,Canceled,123.0
0,Check-Out,146.0
0,Check-Out,110.7
1,Canceled,73.8
0,Check-Out,61.0
1,Canceled,104.72
1,Canceled,104.72
0,Check-Out,104.72
1,Canceled,66.42
0,Check-Out,77.96
1,Canceled,112.0
0,Check-Out,107.0
0,Check-Out,89.68
0,Check-Out,155.0
0,Check-Out,112.0
0,Check-Out,130.1
0,Check-Out,100.1
0,Check-Out,123.0
0,Check-Out,124.0
0,Check-Out,146.0
1,Canceled,97.0
1,Canceled,123.0
1,Canceled,153.0
0,Check-Out,82.0
1,Canceled,105.08
1,Canceled,65.42
0,Check-Out,98.0
0,Check-Out,75.46
0,Check-Out,65.5
0,Check-Out,90.95
0,Check-Out,93.6
0,Check-Out,119.25
0,Check-Out,134.73
0,Check-Out,112.0
1,Canceled,118.13
0,Check-Out,131.0
0,Check-Out,88.2
0,Check-Out,73.8
0,Check-Out,98.0
0,Check-Out,110.5
0,Check-Out,131.0
0,Check-Out,185.0
0,Check-Out,87.3
0,Check-Out,73.8
0,Check-Out,120.0
0,Check-Out,98.0
0,Check-Out,96.3
0,Check-Out,197.0
0,Check-Out,197.0
1,Canceled,123.0
0,Check-Out,82.0
0,Check-Out,165.0
0,Check-Out,149.4
0,Check-Out,106.84
0,Check-Out,161.0
0,Check-Out,134.43
0,Check-Out,144.43
0,Check-Out,152.0
0,Check-Out,125.54
0,Check-Out,133.83
0,Check-Out,159.75
0,Check-Out,120.6
0,Check-Out,112.2
0,Check-Out,110.6
0,Check-Out,105.9
